Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Breakfast"	"01/11/2020 06:00 AM CET"	"01/11/2020 07:00 AM CET"	""	""	""
"Lunch"	"01/11/2020 12:30 PM CET"	"01/11/2020 01:30 PM CET"	""	""	""
"Lunch"	"01/12/2020 12:00 PM CET"	"01/12/2020 01:30 PM CET"	""	""	""
"Breakfast"	"01/10/2020 07:00 AM CET"	"01/10/2020 08:00 AM CET"	""	""	""
"Lunch"	"11/16/2019 01:00 PM CET"	"11/16/2019 02:00 PM CET"	""	""	""
"Lunch"	"11/17/2019 12:30 PM CET"	"11/17/2019 02:00 PM CET"	""	""	""
"Dinner"	"01/12/2020 08:00 PM CET"	"01/12/2020 09:00 PM CET"	""	""	""
"Breakfast"	"01/12/2020 07:00 AM CET"	"01/12/2020 08:30 AM CET"	""	""	""
"Breakfast"	"01/13/2020 06:30 AM CET"	"01/13/2020 08:00 AM CET"	""	""	""
"Lunch"	"01/13/2020 12:00 PM CET"	"01/13/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/13/2020 08:00 PM CET"	"01/13/2020 09:00 PM CET"	""	""	""
"Breakfast"	"01/14/2020 06:30 AM CET"	"01/14/2020 08:00 AM CET"	""	""	""
"Lunch"	"01/14/2020 12:00 PM CET"	"01/14/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/14/2020 07:00 PM CET"	"01/14/2020 08:30 PM CET"	""	""	""
"Breakfast"	"01/15/2020 08:00 AM CET"	"01/15/2020 09:00 AM CET"	""	""	""
"Lunch"	"01/15/2020 12:00 PM CET"	"01/15/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/15/2020 08:30 PM CET"	"01/15/2020 09:30 PM CET"	""	""	""
"Breakfast"	"01/16/2020 06:30 AM CET"	"01/16/2020 07:30 AM CET"	""	""	""
"Lunch"	"01/16/2020 12:00 PM CET"	"01/16/2020 01:30 PM CET"	""	""	""
"Dinner"	"01/16/2020 07:30 PM CET"	"01/16/2020 09:00 PM CET"	""	""	""
"Breakfast"	"01/17/2020 06:00 AM CET"	"01/17/2020 07:00 AM CET"	""	""	""
"Lunch"	"01/17/2020 12:00 PM CET"	"01/17/2020 01:00 PM CET"	""	""	""
"Dinner"	"01/17/2020 08:00 PM CET"	"01/17/2020 09:00 PM CET"	""	""	""
"Breakfast"	"01/18/2020 08:30 AM CET"	"01/18/2020 09:30 AM CET"	""	""	""
"Lunch"	"01/18/2020 12:00 PM CET"	"01/18/2020 01:30 PM CET"	""	""	""
"Dinner"	"01/18/2020 07:30 PM CET"	"01/18/2020 09:00 PM CET"	""	""	""
"Breakfast"	"01/19/2020 07:00 AM CET"	"01/19/2020 08:00 AM CET"	""	""	""
